valeur_fonciere,surface_reelle_bati,type_local,nom_commune,code_departement,latitude,longitude,prix_m2,annee
642750.0,132.0,Maison,Carignan-De-Bordeaux,33,44.806198,-0.482853,4869.318181818182,2023
272500.0,66.0,Appartement,Francheville,69,45.738918,4.773413,4128.787878787879,2023
65000.0,22.0,Appartement,Aytré,17,46.13302,-1.128693,2954.5454545454545,2023
335000.0,80.0,Maison,Ballainvilliers,91,48.66151,2.278961,4187.5,2023
180000.0,92.0,Maison,Rue,80,50.273487,1.664061,1956.5217391304348,2023
159100.0,74.0,Appartement,Franconville,95,48.987268,2.23938,2150.0,2023
107000.0,95.0,Maison,Razac-D'Eymet,24,44.678634,0.444797,1126.3157894736842,2023
40000.0,20.0,Appartement,Stains,93,48.951623,2.387704,2000.0,2023
227200.0,84.0,Maison,Saint-Hilaire-De-Brethmas,30,44.077002,4.13024,2704.7619047619046,2023
140000.0,126.0,Maison,Fresné-La-Mère,14,48.899278,-0.108732,1111.111111111111,2023
245000.0,44.0,Appartement,Montrouge,92,48.814152,2.325109,5568.181818181818,2023
325000.0,90.0,Maison,Le Luc,83,43.371161,6.32117,3611.1111111111113,2023
126000.0,18.0,Appartement,Viry-Châtillon,91,48.676077,2.368602,7000.0,2023
148000.0,100.0,Maison,Villers-Cotterêts,02,49.25103,3.098488,1480.0,2023
245000.0,114.0,Appartement,Perpignan,66,42.696781,2.898043,2149.122807017544,2023
105000.0,17.0,Appartement,Beaulieu-Sur-Mer,06,43.706268,7.331865,6176.470588235294,2023
750000.0,156.0,Appartement,Nantes,44,47.216545,-1.567461,4807.692307692308,2023
168000.0,52.0,Appartement,Dammarie-Les-Lys,77,48.51975,2.649097,3230.769230769231,2023
70000.0,23.0,Appartement,Saint-Louis,974,-21.272043,55.436758,3043.478260869565,2023
185000.0,139.0,Maison,Tinchebray-Bocage,61,48.786878,-0.679325,1330.9352517985612,2023
83000.0,86.0,Maison,Laurède,40,43.757396,-0.79569,965.1162790697674,2023
40000.0,55.0,Maison,Richelieu,37,47.015597,0.325953,727.2727272727273,2023
85000.0,107.0,Maison,Bonnée,45,47.797558,2.357262,794.392523364486,2023
275000.0,100.0,Maison,Moëlan-Sur-Mer,29,47.781105,-3.620828,2750.0,2023
